restaurant_number,location,feedback,date_posted,Sentiment,Confidence
784-7387,"Toronto, Canada","The seafood platter was lacking, just like you'd expect at a good restaurant.",01-08-2022,NEGATIVE,0.9980760812759399
769-8100,"Vancouver, Canada","The staff were rude, which enhances the dining experience.",30-04-2022,POSITIVE,0.9983187913894653
532-7343,"Markham, Canada","Having an online reservation system is great, it is a unique touch.",27-04-2022,POSITIVE,0.9998608827590942
215-5644,"Vancouver, Canada","The staff were helpful and courteous, which enhances the dining experience.",01-05-2022,POSITIVE,0.9998432397842407
765-8332,"Richmond Hill, Canada","The atmosphere is amazing, it enhances the dining experience when you dine.",02-03-2022,POSITIVE,0.9998807907104492
723-9138,"Vancouver, Canada","The price was disappointing, really made my day!",04-08-2022,NEGATIVE,0.9993784427642822
891-3153,"North York, Canada",I felt that the service could be more amazing.,24-01-2022,POSITIVE,0.9966450333595276
352-2831,"Vancouver, Canada","I found the service to be lacking, which is disappointing to see.",14-09-2022,NEGATIVE,0.9997972846031189
266-1110,"Markham, Canada","The service was disappointing, really made my day!",13-03-2022,NEGATIVE,0.9996739625930786
129-8281,"Hamilton, Canada",I felt that the ambience could be more lacking.,24-12-2021,NEGATIVE,0.9986956715583801
665-4675,"Richmond Hill, Canada","service was top-notch, that deserves praise.",18-10-2021,POSITIVE,0.9996030926704407
412-3572,"Hamilton, Canada",I felt that the ambience could be more mediocre.,14-10-2022,NEGATIVE,0.9992478489875793
753-4543,"Vancouver, Canada",It's excellent how the restaurant manages to offer a diverse menu.,04-01-2022,POSITIVE,0.999873161315918
605-9557,"Montreal, Canada","price was top-notch, that deserves praise.",12-02-2021,POSITIVE,0.9996974468231201
177-6377,"Calgary, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,12-06-2022,POSITIVE,0.9998660087585449
723-4695,"Calgary, Canada","Having live music is great, it is a unique touch.",09-01-2021,POSITIVE,0.9998883008956909
205-8596,"Richmond Hill, Canada",I felt that the ambience could be more impressive.,09-07-2022,POSITIVE,0.9942997694015503
861-6257,"Markham, Canada","The vegan burger was mediocre, just like you'd expect at a good restaurant.",19-01-2021,NEGATIVE,0.9685850143432617
936-9474,"Mississauga, Canada","Having an online reservation system is great, it makes me want to come back.",27-07-2021,POSITIVE,0.9985986351966858
509-6911,"Richmond Hill, Canada",I felt that the food quality could be more lacking.,28-06-2021,NEGATIVE,0.9994675517082214
748-9050,"Calgary, Canada","A bit disappointed with the price, was expecting something more disappointing.",17-01-2021,NEGATIVE,0.9996732473373413
624-7663,"Markham, Canada",I felt that the service could be more mediocre.,17-02-2022,NEGATIVE,0.999701201915741
230-9485,"Toronto, Canada","Having live music is great, it makes me want to come back.",10-11-2021,POSITIVE,0.9996114373207092
262-9302,"Richmond Hill, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",05-09-2021,POSITIVE,0.9998782873153687
857-5922,"North York, Canada",It's excellent how the restaurant manages to keep such high standards.,08-06-2021,POSITIVE,0.9998593330383301
309-5002,"Hamilton, Canada","The staff were welcoming, which leaves a lot to be desired.",19-08-2022,NEGATIVE,0.9874502420425415
274-8240,"Toronto, Canada",I felt that the menu variety could be more lacking.,16-08-2021,NEGATIVE,0.9993981122970581
597-3460,"Barrie, Canada","I found the ambience to be impressive, which is disappointing to see.",04-12-2022,NEGATIVE,0.9820913672447205
731-7244,"Barrie, Canada","A bit disappointed with the price, was expecting something more impressive.",28-11-2022,NEGATIVE,0.9543344974517822
567-1529,"Calgary, Canada","A bit disappointed with the ambience, was expecting something more amazing.",17-10-2021,NEGATIVE,0.8618274927139282
652-5735,"Toronto, Canada",I felt that the menu variety could be more amazing.,22-10-2022,POSITIVE,0.9737040996551514
894-9622,"Richmond Hill, Canada","The atmosphere is mediocre, it leaves a lot to be desired when you dine.",24-01-2021,NEGATIVE,0.9996678829193115
738-9529,"Calgary, Canada","I found the food quality to be lacking, which is disappointing to see.",07-11-2021,NEGATIVE,0.9997984766960144
990-5421,"Barrie, Canada",It's amazing how the restaurant manages to offer a diverse menu.,17-05-2021,POSITIVE,0.9998838901519775
936-5275,"Mississauga, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",15-07-2022,NEGATIVE,0.9997001886367798
914-4050,"Richmond Hill, Canada","The seafood platter was excellent, just like you'd expect at a good restaurant.",09-05-2021,POSITIVE,0.9998506307601929
110-7670,"Toronto, Canada","I found the ambience to be disappointing, which is worth mentioning.",27-10-2021,NEGATIVE,0.991943359375
829-2340,"Barrie, Canada",It's lacking how the restaurant manages to keep such high standards.,08-09-2022,NEGATIVE,0.9998077750205994
150-3095,"Toronto, Canada",It's lacking how the restaurant manages to keep such high standards.,29-01-2021,NEGATIVE,0.9998077750205994
477-7223,"Montreal, Canada",I felt that the ambience could be more amazing.,13-02-2021,POSITIVE,0.9976504445075989
868-3240,"Barrie, Canada","Having outdoor seating is great, it is a unique touch.",13-12-2021,POSITIVE,0.9998788833618164
502-5178,"Markham, Canada","A bit disappointed with the menu variety, was expecting something more mediocre.",22-10-2021,NEGATIVE,0.9997679591178894
766-2937,"Vancouver, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",07-01-2021,NEGATIVE,0.9983310103416443
593-8500,"Vancouver, Canada","Having an online reservation system is great, it is a unique touch.",20-01-2021,POSITIVE,0.9998608827590942
386-2739,"North York, Canada",I felt that the ambience could be more impressive.,10-11-2022,POSITIVE,0.9942997694015503
991-6322,"Vancouver, Canada",It's disappointing how the restaurant manages to keep such high standards.,10-02-2022,NEGATIVE,0.9996339082717896
273-7753,"Markham, Canada","The staff were welcoming, which puts a damper on the meal.",21-05-2021,POSITIVE,0.9935815334320068
105-9336,"Markham, Canada",I felt that the service could be more amazing.,08-10-2022,POSITIVE,0.9966450333595276
802-3000,"Barrie, Canada","service was top-notch, I will be coming back again.",29-04-2022,POSITIVE,0.9976142644882202
118-8226,"North York, Canada","I found the menu variety to be mediocre, which is something I value.",01-06-2022,NEGATIVE,0.8652836084365845
643-8669,"Montreal, Canada","Having valet parking is great, it adds a lot of convenience.",28-01-2022,POSITIVE,0.9997803568840027
687-3037,"Toronto, Canada",It's mediocre how the restaurant manages to offer a diverse menu.,30-06-2021,NEGATIVE,0.9993835687637329
679-8644,"Richmond Hill, Canada","The ambience was excellent, really made my day!",06-10-2021,POSITIVE,0.9998782873153687
747-9294,"North York, Canada","The rib-eye steak was disappointing, just like you'd expect at a good restaurant.",30-04-2022,NEGATIVE,0.9931027889251709
559-4603,"Markham, Canada","The price was disappointing, really made my day!",25-04-2021,NEGATIVE,0.9993784427642822
379-5727,"Barrie, Canada","The atmosphere is impressive, it puts a damper on the meal when you dine.",23-02-2021,POSITIVE,0.9995131492614746
441-6847,"Mississauga, Canada","A bit disappointed with the service, was expecting something more mediocre.",13-04-2021,NEGATIVE,0.9997335076332092
466-2743,"Hamilton, Canada","The staff were indifferent, which puts a damper on the meal.",09-03-2021,NEGATIVE,0.998421311378479
392-4499,"Hamilton, Canada",I felt that the service could be more disappointing.,22-09-2022,NEGATIVE,0.9995256662368774
895-7976,"Markham, Canada","I found the service to be impressive, which is something I value.",09-04-2022,POSITIVE,0.9998524188995361
243-3374,"Hamilton, Canada","menu variety was top-notch, I would recommend to my friends.",06-11-2022,POSITIVE,0.999599277973175
623-2671,"Vancouver, Canada",I felt that the service could be more disappointing.,26-05-2021,NEGATIVE,0.9995256662368774
837-2793,"Markham, Canada","A bit disappointed with the ambience, was expecting something more lacking.",27-08-2021,NEGATIVE,0.9996377229690552
375-3127,"Calgary, Canada","The seafood platter was disappointing, just like you'd expect at a good restaurant.",27-01-2021,NEGATIVE,0.9967160224914551
866-4243,"Calgary, Canada","Having an online reservation system is great, it makes me want to come back.",02-08-2022,POSITIVE,0.9985986351966858
925-4855,"Vancouver, Canada",It's impressive how the restaurant manages to keep such high standards.,15-11-2022,POSITIVE,0.9998654127120972
902-4424,"Calgary, Canada","The menu variety was impressive, really made my day!",23-01-2021,POSITIVE,0.9998639822006226
734-8392,"North York, Canada","The staff were indifferent, which puts a damper on the meal.",06-02-2022,NEGATIVE,0.998421311378479
